core,section,ave_depth,ave_depth_adj,y_m,x_m,ID,cut,Li,Rb,Sr,Zr,Mo,Cd,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Tb,Gd,Dy,Ho,Er,Tm,Yb,Lu,Pb,Th,U,Be,W,Na,Mg,Al,P,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,S,Si,K,As,top_depth,bot_depth,top_depth_adj,bot_depth_adj
alhic2302,158,128.9967955,129.02162139432957,0.016,-0.0495,45,stick2,21.747,35.114,135.378,13.309,0.688,0.585,2.821,145.565,17.971,34.014,3.805,13.564,2.764,0.539,0.362,2.259,1.862,0.345,1.048,0.132,0.788,0.121,10.132,5.899,1.126,0.936,3.523,62.931,29.259,22.08,5.872,26.372,709.247,30.471,18.377,491.153,14.071,8.772,33.032,31.903,92.649,69.142,34.076,8.322,4.64,128.989843,129.003748,129.0146688943296,129.02857389432958
alhic2302,158,129.0108815,129.0357073943296,0.016,-0.0495,46,stick2,20.953,26.299,120.527,11.546,0.467,0.5,2.036,115.604,13.755,25.707,2.833,10.339,2.004,0.436,0.273,1.764,1.51,0.26,0.798,0.106,0.614,0.093,5.668,4.135,0.855,0.685,2.526,56.007,25.461,16.278,4.529,23.695,557.604,23.895,12.965,421.064,10.445,7.372,29.084,26.103,71.727,56.059,19.556,6.537,3.18,129.003748,129.018015,129.02857389432958,129.04284089432957
alhic2302,158,129.0249295,129.0497553943296,0.016,-0.0495,47,stick2,21.439,26.633,137.304,11.213,0.458,0.331,2.143,122.955,82.936,169.36,19.644,70.866,12.696,1.94,0.933,8.085,3.471,0.474,1.157,0.138,0.806,0.116,7.198,7.578,0.975,0.587,2.051,57.177,25.378,17.163,4.841,29.553,594.752,30.041,16.914,439.765,13.29,7.352,28.995,28.948,86.065,63.017,25.616,6.763,3.441,129.018015,129.031844,129.04284089432957,129.0566698943296
alhic2302,158,129.0386995,129.0635253943296,0.016,-0.0495,48,stick2,23.608,37.18,166.18,12.217,0.902,0.55,2.397,163.133,21.606,43.752,5.064,18.895,3.651,0.834,0.546,3.257,2.89,0.556,1.584,0.196,1.197,0.172,10.201,5.543,1.158,0.685,16.63,63.427,31.506,28.723,5.849,36.325,715.205,42.831,31.031,611.28,16.147,14.572,48.776,44.032,110.472,101.947,27.769,8.418,5.526,129.031844,129.045555,129.0566698943296,129.0703808943296
alhic2302,158,129.0525245,129.07735039432959,0.016,-0.0495,49,stick2,21.626,34.503,150.398,14.244,0.676,0.381,2.414,143.922,16.704,33.3,3.578,12.607,2.355,0.582,0.355,2.11,1.712,0.354,0.981,0.19,0.879,0.142,8.203,4.613,2.025,0.88,6.977,60.977,27.518,20.777,5.148,28.42,856.132,32.717,20.277,530.115,14.389,9.767,33.508,35.389,97.381,71.528,34.265,8.029,4.848,129.045555,129.059494,129.0703808943296,129.08431989432958
alhic2302,158,129.065822,129.09064789432958,0.016,-0.0495,50,stick2,21.407,40.282,143.974,14.765,0.975,0.493,2.482,164.327,16.001,30.888,3.331,11.971,2.432,0.505,0.319,2.072,1.673,0.315,0.847,0.114,0.76,0.103,13.579,4.226,0.959,0.978,7.435,59.906,27.475,19.439,7.304,23.974,689.91,26.018,14.949,475.371,11.663,8.051,32.663,31.548,82.218,59.339,28.695,9.301,4.275,129.059494,129.07215,129.08431989432958,129.09697589432957
alhic2302,158,129.079037,129.10386289432958,0.016,-0.0495,51,stick2,22.49,35.145,143.128,21.64,0.961,0.303,2.822,141.833,18.16,35.528,3.743,13.781,2.723,0.607,0.381,2.459,1.969,0.381,1.093,0.147,0.873,0.136,7.234,5.003,1.155,0.964,2.355,62.109,26.47,22.53,7.543,24.1,792.798,27.125,14.465,474.116,12.755,10.828,62.639,28.06,82.115,58.758,23.442,6.14,4.483,129.07215,129.085924,129.09697589432957,129.1107498943296
alhic2302,158,129.093363,129.1181888943296,0.016,-0.0495,52,stick2,24.587,31.758,143.157,15.56,1.086,0.627,2.254,131.655,19.369,38.337,4.175,14.776,2.984,0.551,0.348,2.345,1.935,0.348,1.063,0.162,0.901,0.138,7.862,8.027,1.129,1.034,5.904,66.2,27.569,21.45,6.966,26.514,738.972,30.539,16.538,517.244,13.318,10.346,50.932,36.384,124.154,63.237,33.784,8.149,4.327,129.085924,129.10080200000002,129.1107498943296,129.1256278943296
alhic2302,158,129.1079915,129.13281739432958,0.016,-0.0495,53,stick2,24.033,39.607,146.028,13.623,0.767,0.444,3.525,168.196,18.783,36.533,4.069,15.342,2.961,0.543,0.451,2.548,2.366,0.448,1.325,0.185,1.276,0.177,10.933,6.54,1.396,1.243,2.626,71.943,29.038,27.251,1.003,36.942,815.459,47.814,24.107,639.308,16.737,13.858,36.357,37.915,91.353,68.616,44.615,8.764,5.995,129.10080200000002,129.115181,129.1256278943296,129.1400068943296
alhic2302,158,129.1224335,129.14725939432958,0.016,-0.0495,54,stick2,21.772,41.709,143.408,15.271,0.953,0.536,3.616,153.729,20.161,38.916,4.256,15.455,2.904,0.592,0.4,2.512,2.081,0.411,1.18,0.178,1.033,0.159,11.322,6.384,1.29,0.852,2.511,71.845,27.634,24.783,4.951,39.67,756.52,46.78,20.552,537.059,15.475,16.294,33.839,37.522,93.325,67.763,36.586,9.014,5.734,129.115181,129.129686,129.1400068943296,129.15451189432957
alhic2302,158,129.1367865,129.16161239432958,0.016,-0.0495,55,stick2,20.982,34.534,145.008,12.209,0.74,0.331,2.418,140.396,17.799,34.039,3.773,13.304,2.61,0.528,0.376,2.22,1.91,0.358,1.097,0.151,0.958,0.145,7.269,4.715,1.202,1.048,3.621,62.113,26.614,21.798,6.771,29.41,543.066,30.578,14.568,471.913,12.029,9.014,55.85,33.041,87.545,66.629,29.479,8.086,5.004,129.129686,129.143887,129.15451189432957,129.1687128943296
alhic2302,158,129.1509095,129.1757353943296,0.016,-0.0495,56,stick2,20.154,29.383,144.836,13.984,0.643,0.331,2.458,153.951,14.324,28.614,3.218,11.499,2.401,0.481,0.342,1.99,1.883,0.326,0.954,0.124,0.783,0.114,7.968,4.562,0.961,0.754,3.41,54.499,26.902,20.577,5.718,28.931,493.746,29.771,28.881,471.619,12.126,8.907,49.076,35.034,95.261,68.932,21.311,7.175,4.275,129.143887,129.15793200000002,129.1687128943296,129.1827578943296
alhic2302,158,129.164734,129.1895598943296,0.016,-0.0495,57,stick2,24.074,33.951,141.834,13.563,0.566,0.345,2.837,150.786,15.045,27.742,3.041,11.352,2.128,0.485,0.309,1.721,1.627,0.325,0.932,0.153,0.785,0.118,7.744,5.466,0.993,0.489,3.045,60.618,25.827,21.645,5.251,26.814,607.882,34.157,25.963,499.127,14.396,9.314,35.52,31.654,85.222,60.687,29.618,7.546,5.004,129.15793200000002,129.171536,129.1827578943296,129.19636189432958
alhic2302,158,129.178254,129.2030798943296,0.016,-0.0495,58,stick2,26.763,46.971,141.874,12.112,0.638,0.373,3.99,168.87,18.4,35.976,3.977,15.35,2.997,0.573,0.422,2.697,2.232,0.42,1.145,0.164,0.995,0.143,8.192,6.085,1.117,1.369,5.488,62.642,30.184,25.771,6.564,29.158,593.31,41.715,20.668,630.959,15.094,13.755,47.699,31.155,105.121,69.873,39.148,8.992,5.578,129.171536,129.18497200000002,129.19636189432958,129.2097978943296
alhic2302,158,129.1914975,129.21632339432958,0.016,-0.0495,59,stick2,23.6,46.198,147.664,11.273,0.646,0.465,3.918,183.703,16.01,31.008,3.444,12.385,2.532,0.617,0.385,2.201,2.065,0.414,1.159,0.162,1.053,0.147,13.275,6.552,1.312,1.062,3.713,58.37,28.368,27.567,1.113,29.054,820.106,61.412,26.851,534.446,17.898,12.398,36.425,34.712,91.783,59.204,47.135,10.077,5.213,129.18497200000002,129.198023,129.2097978943296,129.2228488943296
alhic2302,158,129.2052835,129.2301093943296,0.016,-0.0495,60,stick2,32.647,64.96,248.117,14.019,1.688,0.972,5.014,278.726,30.723,57.23,6.303,23.289,4.61,1.066,0.649,3.98,3.506,0.704,2.108,0.31,2.073,0.306,12.911,9.594,1.717,1.914,4.989,61.328,30.145,41.243,4.394,34.522,1478.864,57.91,28.803,860.352,25.216,15.06,44.948,47.233,133.046,60.061,77.899,14.011,9.488,129.198023,129.212544,129.2228488943296,129.2373698943296
alhic2302,158,129.219349,129.24417489432957,0.016,-0.0495,61,stick2,19.634,24.458,121.67,15.257,0.371,0.43,1.799,108.867,13.009,26.219,3.0,11.036,2.154,0.523,0.329,1.963,1.617,0.279,0.812,0.109,0.756,0.107,6.514,4.534,0.702,0.838,5.018,55.96,27.385,17.979,4.25,27.666,409.683,20.469,14.462,463.688,10.177,8.606,56.303,39.979,92.445,63.336,19.404,6.836,4.379,129.212544,129.226154,129.2373698943296,129.2509798943296
alhic2302,158,129.232886,129.2577118943296,0.016,-0.0495,62,stick2,19.875,26.309,145.597,14.38,0.522,0.528,1.643,126.373,20.728,39.591,4.262,15.227,2.886,0.63,0.363,2.403,1.963,0.374,0.972,0.137,0.857,0.13,5.702,3.995,0.862,0.587,4.988,56.147,29.277,20.788,4.92,26.984,1234.415,32.812,26.328,493.735,14.961,9.704,36.77,37.806,95.511,64.62,19.834,6.923,2.659,129.226154,129.239618,129.2509798943296,129.2644438943296
alhic2302,158,129.2463365,129.2711623943296,0.016,-0.0495,63,stick2,20.385,22.612,99.888,13.021,0.453,0.282,1.348,81.146,10.575,20.575,2.216,8.149,1.506,0.351,0.204,1.336,1.07,0.232,0.64,0.081,0.518,0.075,7.378,2.829,0.724,0.601,9.147,49.723,25.17,13.853,6.553,20.685,368.281,17.899,12.385,370.804,7.888,6.284,29.581,33.968,89.154,56.481,8.456,5.408,2.398,129.239618,129.25305500000002,129.2644438943296,129.2778808943296
alhic2302,158,129.259671,129.28449689432958,0.016,-0.0495,64,stick2,20.217,25.656,171.825,10.902,0.444,0.564,1.725,124.756,12.485,24.685,2.853,10.315,1.89,0.488,0.3,1.716,1.521,0.286,0.801,0.115,0.615,0.088,6.15,2.818,0.787,0.657,4.088,49.889,23.388,25.413,2.067,25.792,468.404,22.325,15.175,389.151,9.885,7.874,30.32,34.286,101.598,61.213,31.163,6.474,4.587,129.25305500000002,129.266287,129.2778808943296,129.2911128943296
alhic2302,158,129.2730205,129.29784639432958,0.016,-0.0495,65,stick2,21.373,25.673,113.246,9.86,0.276,0.62,1.567,92.035,12.608,26.176,3.043,11.539,2.284,0.44,0.345,2.08,1.861,0.369,1.017,0.129,0.875,0.125,6.676,2.923,0.747,0.587,3.002,58.113,32.067,24.374,4.289,24.175,337.266,19.489,22.499,616.61,12.23,31.418,84.159,46.878,170.92,90.409,12.582,6.449,4.17,129.266287,129.279754,129.2911128943296,129.30457989432958
alhic2302,158,129.286353,129.31117889432957,0.016,-0.0495,66,stick2,20.441,22.372,96.731,9.404,0.378,0.366,1.604,92.116,9.684,19.039,2.112,8.021,1.505,0.34,0.207,1.298,1.174,0.231,0.576,0.089,0.488,0.072,5.072,2.85,0.704,0.461,6.342,52.266,22.281,13.073,5.211,20.731,343.826,18.297,15.237,377.992,8.604,7.007,30.291,28.028,87.405,52.753,11.143,6.004,2.659,129.279754,129.292952,129.30457989432958,129.3177778943296
alhic2302,158,129.2996365,129.32446239432957,0.016,-0.0495,67,stick2,20.285,20.907,90.595,9.29,0.323,0.416,1.251,73.92,8.471,16.759,1.972,7.136,1.256,0.364,0.204,1.155,1.016,0.192,0.565,0.078,0.652,0.071,4.895,2.217,0.624,0.391,6.135,44.38,21.908,10.969,6.503,19.784,345.803,15.358,12.126,338.813,6.908,6.592,39.152,28.701,121.96,50.843,15.655,5.242,2.659,129.292952,129.306321,129.3177778943296,129.33114689432958
alhic2302,158,129.3127045,129.33753039432958,0.016,-0.0495,68,stick2,22.051,22.708,92.123,8.518,0.815,0.585,1.238,74.867,9.74,19.447,2.195,8.435,1.684,0.392,0.227,1.407,1.234,0.253,0.669,0.095,0.611,0.084,6.404,2.387,0.86,0.391,7.41,50.133,21.56,16.952,5.232,21.193,276.366,14.748,14.319,454.082,7.489,6.631,33.966,39.586,130.458,62.98,12.851,5.647,3.388,129.306321,129.319088,129.33114689432958,129.34391389432957
alhic2302,158,129.326011,129.35083689432957,0.016,-0.0495,69,stick2,24.664,25.795,105.588,10.577,0.74,0.528,1.677,102.459,11.022,21.034,2.396,8.361,1.716,0.387,0.246,1.49,1.291,0.245,0.681,0.109,0.618,0.076,6.547,3.332,0.761,0.615,17.269,62.816,24.623,14.723,4.839,25.349,373.943,20.882,14.184,404.65,9.198,6.962,42.98,33.789,104.335,58.433,13.018,6.528,3.388,129.319088,129.332934,129.34391389432957,129.35775989432958
alhic2302,158,129.339306,129.36413189432957,0.016,-0.0495,70,stick2,24.312,32.478,144.614,8.062,0.617,0.458,2.697,146.063,14.072,27.508,3.041,11.769,2.254,0.555,0.315,1.894,1.661,0.325,0.896,0.139,0.754,0.129,9.79,4.047,0.936,1.132,17.601,72.328,24.445,21.117,5.124,31.796,511.677,27.477,15.599,467.612,13.882,8.521,33.328,45.03,124.53,61.932,25.486,7.955,5.109,129.332934,129.345678,129.35775989432958,129.37050389432957
alhic2302,158,129.35299,129.3778158943296,0.016,-0.0495,71,stick2,29.063,42.25,164.447,7.087,0.488,0.683,3.357,196.695,14.21,27.872,3.132,11.387,2.253,0.714,0.329,2.214,1.796,0.333,1.023,0.126,0.808,0.123,9.528,4.608,0.886,1.383,7.446,65.907,27.705,30.302,3.896,29.817,541.578,32.919,19.864,719.935,14.737,11.055,41.035,40.119,129.508,60.042,51.338,10.113,4.431,129.345678,129.360302,129.37050389432957,129.38512789432957
alhic2302,158,129.3673225,129.39214839432958,0.016,-0.0495,72,stick2,25.417,24.629,139.581,7.099,18.53,0.712,1.992,120.265,12.937,24.932,2.763,9.907,1.972,0.46,0.274,1.779,1.527,0.296,0.794,0.12,0.637,0.1,8.4,3.984,0.888,0.671,5.418,60.628,22.673,19.056,0.462,27.312,512.338,25.137,37.034,448.129,11.379,8.046,103.623,88.078,161.175,57.578,19.747,6.953,5.265,129.360302,129.374343,129.38512789432957,129.3991688943296
alhic2302,158,129.38196,129.40678589432957,0.016,-0.0495,73,stick2,25.782,24.994,138.1,6.46,0.809,0.655,2.06,143.059,12.018,24.414,2.754,10.226,2.074,0.486,0.284,1.736,1.506,0.301,0.817,0.113,0.661,0.093,7.529,3.414,0.794,0.726,3.179,57.094,21.183,17.204,0.418,25.566,546.951,22.582,15.205,419.107,10.3,8.189,33.025,31.795,88.083,55.834,19.446,6.458,3.388,129.374343,129.389577,129.3991688943296,129.41440289432958
alhic2302,158,129.397076,129.42190189432958,0.016,-0.0495,74,stick2,25.913,29.541,136.323,10.561,0.507,0.402,2.323,122.957,13.219,25.421,2.843,10.255,2.202,0.474,0.319,1.747,1.487,0.309,0.785,0.116,0.715,0.11,6.562,3.471,0.874,0.489,3.81,68.198,21.035,16.64,0.431,25.722,699.618,26.468,14.446,425.317,10.418,8.684,30.696,26.993,74.421,54.157,34.312,6.799,4.64,129.389577,129.404575,129.41440289432958,129.42940089432958
alhic2302,158,129.411736,129.43656189432957,0.016,-0.0495,75,stick2,25.466,23.696,128.226,7.259,0.625,0.366,1.898,124.487,13.416,26.222,3.006,11.072,2.049,0.485,0.271,1.703,1.36,0.269,0.702,0.093,0.69,0.101,6.699,3.322,0.747,0.517,5.714,62.615,21.819,16.465,0.425,25.727,538.302,23.035,15.802,420.459,10.595,8.589,37.049,32.01,83.311,52.397,18.79,6.387,8.184,129.404575,129.41889700000002,129.42940089432958,129.4437228943296
alhic2302,158,129.4263325,129.45115839432958,0.016,-0.0495,76,stick2,26.491,28.789,128.814,7.343,0.639,0.528,2.161,117.719,11.915,24.365,2.651,9.826,2.056,0.448,0.29,1.781,1.413,0.294,0.773,0.103,0.65,0.095,9.447,3.484,0.818,0.587,17.252,59.005,21.596,16.569,0.374,24.877,493.551,25.59,14.25,428.786,11.281,8.097,38.165,31.085,91.865,55.688,23.13,6.712,4.17,129.41889700000002,129.43376800000001,129.4437228943296,129.4585938943296
alhic2302,158,129.436884,129.46170989432957,0.016,-0.0495,77,stick2,29.054,80.693,215.625,25.848,0.757,0.564,3.063,799.34,31.924,61.218,6.303,22.193,3.668,0.81,0.48,2.826,2.4,0.457,1.214,0.163,1.071,0.159,13.572,12.039,1.217,1.523,8.442,70.992,34.841,43.086,0.574,31.032,1014.349,50.66,34.411,627.299,25.359,10.657,34.841,42.609,79.068,64.537,75.389,21.074,7.35,129.43376800000001,129.44,129.4585938943296,129.46482589432958
alhic2302,156_2,127.7150261,127.7700562391109,0.016,0.046,78,stick2,44.29,81.066,373.276,12.928,36.924,1.825,6.742,353.319,38.836,73.861,8.766,33.213,6.649,1.722,0.93,5.57,4.709,0.895,2.459,0.354,2.236,0.327,95.541,11.922,3.301,2.277,14.514,65.826,27.989,70.916,1.61,40.781,2065.031,87.282,124.534,825.687,44.16,56.846,137.932,364.35,564.254,74.068,114.857,17.933,10.895,127.7069,127.7231522,127.7619301391109,127.7781823391109
alhic2302,156_2,127.73102185,127.7860519891109,0.016,0.046,79,stick2,19.469,33.788,143.262,10.092,0.84,0.641,1.976,124.502,12.59,25.834,2.872,10.907,2.208,0.547,0.299,1.728,1.538,0.279,0.811,0.114,0.584,0.098,8.864,5.586,0.863,0.796,9.308,58.075,24.25,15.57,6.227,29.046,414.03,24.908,15.759,400.475,10.924,8.707,37.2,41.758,105.262,88.353,10.067,7.613,8.601,127.7231522,127.73889150000001,127.7781823391109,127.7939216391109
alhic2302,156_2,127.74633475,127.8013648891109,0.016,0.046,80,stick2,45.777,38.136,135.253,12.103,0.662,0.486,3.223,164.079,49.96,96.31,8.446,27.974,5.238,0.88,0.679,4.509,3.604,0.679,1.88,0.25,1.436,0.218,15.651,5.412,1.193,1.327,7.81,54.129,36.736,24.493,6.349,22.432,1351.337,88.796,38.076,733.492,29.374,19.88,48.963,57.799,106.992,68.935,41.022,8.99,3.649,127.73889150000001,127.753778,127.7939216391109,127.8088081391109
alhic2302,156_2,127.76120365,127.8162337891109,0.016,0.046,81,stick2,43.881,29.075,151.655,11.837,0.556,0.747,2.122,129.984,22.43,44.384,6.062,23.338,4.792,0.822,0.703,4.301,3.748,0.738,2.044,0.275,1.773,0.232,7.986,4.955,1.181,1.006,18.797,50.195,38.388,25.765,6.078,23.666,1601.024,75.779,44.318,805.143,25.972,21.815,51.679,45.596,96.09,71.588,50.755,7.215,4.275,127.753778,127.7686293,127.8088081391109,127.8236594391109
alhic2302,156_2,127.77636005000001,127.8313901891109,0.016,0.046,82,stick2,30.225,29.3,150.471,12.487,0.271,0.874,1.861,138.189,14.006,28.845,3.756,14.42,3.351,0.54,0.554,3.252,2.947,0.53,1.374,0.21,1.109,0.153,7.447,3.631,0.962,0.782,5.971,53.92,27.794,21.001,6.479,23.062,726.888,34.459,18.248,536.63,13.675,9.876,37.781,35.922,80.962,67.265,27.238,7.295,2.45,127.7686293,127.7840908,127.8236594391109,127.8391209391109
alhic2302,156_2,127.79161640000001,127.8466465391109,0.016,0.046,83,stick2,20.431,25.489,137.383,10.7,0.359,0.395,1.491,90.7,11.809,23.136,2.61,9.687,1.775,0.479,0.262,1.614,1.383,0.259,0.691,0.093,0.549,0.085,5.903,2.11,0.732,0.866,92.035,58.884,25.837,15.803,7.609,22.752,449.913,21.764,14.195,395.718,8.991,7.137,30.206,33.752,76.931,71.519,10.398,6.785,2.137,127.7840908,127.799142,127.8391209391109,127.8541721391109
alhic2302,156_2,127.806658,127.8616881391109,0.016,0.046,84,stick2,19.408,23.41,120.286,8.609,0.4,0.437,1.41,151.296,12.092,23.224,2.652,8.851,1.78,0.371,0.238,1.524,1.362,0.276,0.665,0.093,0.569,0.094,5.031,2.874,0.829,0.643,8.686,53.477,22.492,12.548,0.407,21.362,478.135,22.485,23.629,392.469,9.847,7.956,40.244,27.741,55.975,60.183,10.113,6.318,2.554,127.799142,127.81417400000001,127.8541721391109,127.8692041391109
alhic2302,156_2,127.821416,127.8764461391109,0.016,0.046,85,stick2,18.447,26.444,117.81,9.84,0.741,0.528,1.699,103.873,12.753,24.787,2.771,10.022,2.084,0.425,0.281,1.721,1.441,0.306,0.827,0.122,0.698,0.102,5.881,3.541,0.857,0.726,8.868,54.604,23.01,16.112,0.353,21.984,413.094,20.754,12.217,414.223,9.313,8.114,29.869,25.002,39.976,65.578,12.762,6.486,3.597,127.81417400000001,127.828658,127.8692041391109,127.8836881391109
alhic2302,156_2,127.835707,127.8907371391109,0.016,0.046,86,stick2,17.91,25.689,117.921,10.343,0.581,0.465,1.84,90.346,12.769,24.623,2.672,9.427,1.793,0.372,0.283,1.58,1.43,0.273,0.786,0.117,0.687,0.098,5.325,3.609,0.788,0.629,14.837,56.286,22.25,13.946,0.334,21.696,361.455,19.302,11.66,419.54,8.471,7.696,33.665,26.032,50.567,59.727,10.898,6.126,3.232,127.828658,127.84275600000001,127.8836881391109,127.8977861391109
alhic2302,156_2,127.850646,127.9056761391109,0.016,0.046,87,stick2,19.571,19.002,142.031,10.979,0.456,0.395,1.231,66.311,7.436,13.272,1.514,5.467,1.032,0.231,0.18,1.035,1.035,0.203,0.565,0.074,0.42,0.065,3.825,2.372,0.57,0.735,8.706,54.053,21.23,11.871,0.192,36.19,158.218,11.256,8.581,480.987,4.777,10.608,34.321,16.891,40.223,73.4,11.522,4.736,1.365,127.84275600000001,127.858536,127.8977861391109,127.9135661391109
alhic2302,156_2,127.8659305,127.9209606391109,0.016,0.046,88,stick2,24.975,30.003,122.696,32.266,1.164,0.437,1.808,103.462,16.511,33.413,3.989,14.75,2.972,0.519,0.41,2.639,2.183,0.45,1.24,0.168,1.054,0.171,8.137,5.879,1.268,1.09,14.496,58.708,26.636,17.965,0.4,22.028,698.847,30.667,19.181,514.272,15.286,10.89,35.307,35.602,55.523,61.079,24.449,6.828,4.535,127.858536,127.87332500000001,127.9135661391109,127.9283551391109
alhic2302,156_2,127.8806855,127.9357156391109,0.016,0.046,89,stick2,22.894,35.158,125.332,17.923,1.059,0.458,2.512,136.033,20.231,40.497,4.578,17.032,3.191,0.541,0.466,2.782,2.433,0.48,1.387,0.204,1.207,0.162,7.504,5.053,1.062,0.978,7.924,59.515,23.069,21.97,0.391,22.636,505.492,25.095,15.138,460.772,11.517,8.882,31.456,25.963,36.275,70.161,20.604,7.848,3.597,127.87332500000001,127.888046,127.9283551391109,127.9430761391109
