ID,dD,d18O,dxs
alhic2302-159_3-l-1,-294.75,-36.96,0.9
alhic2302-159_3-l-2,-295.12,-37.08,1.55
alhic2302-159_3-l-3,-295.41,-37.16,1.88
alhic2302-159_3-l-4,-294.93,-37.11,1.93
alhic2302-159_3-l-5,-294.83,-37.11,2.06
alhic2302-159_3-l-6,-294.39,-37.03,1.82
alhic2302-159_3-l-7,-294.37,-37,1.65
alhic2302-159_3-l-8,-294.61,-37.08,2
alhic2302-159_3-l-9,-294.35,-37.05,2.08
alhic2302-159_3-l-10,-294.5,-37.09,2.19
alhic2302-159_3-l-11,-294.32,-37.06,2.18
alhic2302-159_3-l-12,-294.53,-37.06,1.95
alhic2302-159_3-l-13,-294.33,-36.99,1.59
alhic2302-159_3-l-14,-294.33,-37.04,2.03
alhic2302-159_3-l-15,-294.68,-37.09,2.02
alhic2302-159_3-l-16,-294.86,-37.12,2.07
alhic2302-159_3-l-17,-294.8,-37.08,1.83
alhic2302-159_3-l-18,-295,-37.15,2.19
alhic2302-159_3-l-19,-294.91,-37.14,2.18
alhic2302-159_3-l-20,-295.18,-37.17,2.17
alhic2302-159_3-l-21,-295.88,-37.22,1.87
alhic2302-159_3-l-22,-296.47,-37.31,2.02
alhic2302-159_3-l-23,-296.62,-37.32,1.95
alhic2302-159_3-l-24,-297.27,-37.4,1.92
alhic2302-159_3-l-25,-297.34,-37.44,2.18
alhic2302-159_3-l-26,-297.37,-37.41,1.93
alhic2302-159_3-l-27,-297.4,-37.44,2.13
alhic2302-159_3-l-28,-297.54,-37.45,2.06
alhic2302-159_3-l-29,-297.59,-37.49,2.3
alhic2302-159_3-l-30,-297.59,-37.45,2.03
alhic2302-159_3-l-31,-297.1,-37.44,2.45
alhic2302-159_3-l-32,-297.33,-37.44,2.2
alhic2302-159_3-l-33,-297.39,-37.42,2.01
alhic1901-230_4-l-1,-279.4,-35.34,3.35
alhic1901-230_4-l-2,-278.6,-35.3,3.81
alhic1901-230_4-l-3,-278.79,-35.38,4.26
alhic1901-230_4-l-4,-279,-35.36,3.84
alhic1901-230_4-l-5,-281.37,-35.54,2.98
alhic1901-230_4-l-6,-286.61,-36.15,2.62
alhic1901-230_4-l-7,-287.91,-36.21,1.81
alhic1901-230_4-l-8,-287.46,-36.22,2.33
alhic1901-230_4-l-9,-286.59,-36.17,2.78
alhic1901-230_4-l-10,-289.89,-36.48,1.98
alhic1901-230_4-l-11,-293.14,-36.72,0.61
alhic1901-230_4-l-12,-294.25,-36.85,0.53
alhic1901-230_4-l-13,-294.15,-36.94,1.39
alhic1901-230_4-l-14,-293.25,-36.78,1.01
alhic1901-230_4-l-15,-292.76,-36.77,1.37
alhic1901-230_4-l-16,-291.95,-36.66,1.32
alhic1901-230_4-l-17,-291.46,-36.6,1.32
alhic1901-230_4-l-18,-291.58,-36.65,1.63
alhic1901-230_4-r-1,-280.38,-35.45,3.24
alhic1901-230_4-r-2,-278.06,-35.2,3.56
alhic1901-230_4-r-3,-277.95,-35.21,3.69
alhic1901-230_4-r-4,-279.33,-35.33,3.31
alhic1901-230_4-r-5,-283.17,-35.74,2.76
alhic1901-230_4-r-6,-286.96,-36.11,1.89
alhic1901-230_4-r-7,-289,-36.38,2.05
alhic1901-230_4-r-8,-287.19,-36.15,2.01
alhic1901-230_4-r-9,-286.13,-36.01,1.98
alhic1901-230_4-r-10,-288.44,-36.32,2.1
alhic1901-230_4-r-11,-292.04,-36.65,1.19
alhic1901-230_4-r-12,-294.21,-36.89,0.92
alhic1901-230_4-r-13,-294.51,-36.93,0.91
alhic1901-230_4-r-14,-293.62,-36.85,1.18
alhic1901-230_4-r-15,-292.24,-36.69,1.3
alhic1901-230_4-r-16,-291.66,-36.65,1.55
alhic1901-230_4-r-17,-290.97,-36.59,1.76
alhic1901-230_4-r-18,-290.98,-36.57,1.58
alhic1901-230_4-r-19,-290.75,-36.49,1.2
alhic2302-159_3-r-1,-294.98,-37.09,1.77
alhic2302-159_3-r-2,-295.71,-37.21,1.96
alhic2302-159_3-r-3,-295.32,-37.13,1.69
alhic2302-159_3-r-4,-295.08,-37.09,1.6
alhic2302-159_3-r-5,-295.48,-37.18,1.96
alhic2302-159_3-r-6,-295.23,-37.13,1.78
alhic2302-159_3-r-7,-294.91,-37.06,1.59
alhic2302-159_3-r-8,-294.54,-36.99,1.4
alhic2302-159_3-r-9,-295.45,-37.15,1.76
alhic2302-159_3-r-10,-294.74,-37.07,1.84
alhic2302-159_3-r-11,-294.36,-36.96,1.36
alhic2302-159_3-r-12,-295.5,-37.19,2.03
alhic2302-159_3-r-13,-294.63,-37.07,1.91
alhic2302-159_3-r-14,-295.14,-37.05,1.22
alhic2302-159_3-r-15,-295.06,-37.07,1.53
alhic2302-159_3-r-16,-295.09,-37.11,1.8
alhic2302-159_3-r-17,-294.73,-37.09,1.96
alhic2302-159_3-r-18,-294.53,-37.05,1.85
alhic2302-159_3-r-19,-294.43,-37.03,1.78
alhic2302-159_3-r-20,-294.26,-36.99,1.66
alhic2302-159_3-r-21,-294.47,-37.04,1.85
alhic2302-159_3-r-22,-293.95,-36.96,1.72
alhic2302-159_3-r-23,-294.17,-37.02,1.97
alhic2302-159_3-r-24,-294.18,-37.01,1.94
alhic2302-159_3-r-25,-293.81,-36.94,1.69
alhic2302-159_3-r-26,-293.21,-36.84,1.48
alhic2302-159_3-r-27,-294.37,-37.01,1.7
alhic2302-159_3-r-28,-294.79,-37.07,1.78
alhic2302-159_3-r-29,-294.37,-37.05,2.05
alhic2302-159_3-r-30,-294.25,-37.02,1.92
alhic2302-159_3-r-31,-294.3,-37.04,2.03
alhic2302-159_3-r-32,-293.94,-36.97,1.78
alhic2302-159_3-r-33,-294.53,-37.07,2.04
alhic2302-159_3-r-34,-295.35,-37.17,2.03
alhic2302-156_2-l-51,-294.42,-37,1.54
alhic2302-156_2-l-52,-295.15,-37.11,1.7
alhic2302-156_2-l-53,-295.31,-37.15,1.92
alhic2302-156_2-l-54,-295.38,-37.15,1.79
alhic2302-156_2-l-55,-295.66,-37.19,1.89
alhic2302-156_2-l-56,-295.47,-37.16,1.84
alhic2302-156_2-l-57,-295.34,-37.15,1.86
alhic2302-158-l-51,-293.29,-36.86,1.63
alhic2302-158-l-52,-292.78,-36.76,1.34
alhic2302-158-l-54,-291.69,-36.67,1.63
alhic2302-158-l-55,-290.65,-36.58,1.98
alhic2302-158-l-56,-290.42,-36.55,1.96
alhic2302-158-l-57,-289.79,-36.43,1.68
alhic2302-158-l-58,-289.59,-36.39,1.55
alhic2302-158-l-59,-289.67,-36.44,1.85
alhic2302-158-l-60,-289.12,-36.4,2.05